"table_name","column_name","data_type","is_nullable","column_default","character_maximum_length"
"notifications","message","text","NO",NULL,NULL
"notifications","created_at","timestamp with time zone","YES","now()",NULL
"notifications","is_read","boolean","YES","false",NULL
"old_drive_configuration_items","id","integer","NO","nextval('drive_configuration_items_id_seq'::regclass)",NULL
"old_drive_configuration_items","drive_configuration_id","integer","NO",NULL,NULL
"old_drive_configuration_items","product_id","integer","NO",NULL,NULL
"old_drive_configuration_items","order_in_drive","integer","NO",NULL,NULL
"old_drive_configuration_items","created_at","timestamp with time zone","YES","now()",NULL
"old_drive_orders","id","integer","NO","nextval('drive_orders_id_seq'::regclass)",NULL
"old_drive_orders","session_id","integer","NO",NULL,NULL
"old_drive_orders","product_id","integer","NO",NULL,NULL
"old_drive_orders","status","character varying","NO","'pending'::character varying",50
"old_drive_orders","tasks_required","integer","NO",NULL,NULL
"old_drive_orders","order_in_drive","integer","YES",NULL,NULL
"product_combos","id","integer","NO","nextval('product_combos_id_seq'::regclass)",NULL
"product_combos","product_ids","ARRAY","NO",NULL,NULL
"product_combos","combo_price","numeric","NO",NULL,NULL
"product_combos","combo_commission_rate","numeric","NO",NULL,NULL
"product_combos","min_balance_required","numeric","YES","0",NULL
"product_combos","min_tier","character varying","YES","'bronze'::character varying",10
"product_combos","is_active","boolean","YES","true",NULL
"product_combos","created_at","timestamp without time zone","YES","now()",NULL
"products","id","integer","NO","nextval('products_id_seq'::regclass)",NULL
"products","name","character varying","NO",NULL,500
"products","price","numeric","NO",NULL,NULL
"products","created_at","timestamp without time zone","YES","now()",NULL
"products","description","text","YES",NULL,NULL
"products","image_url","character varying","YES",NULL,255
"products","is_active","boolean","YES","true",NULL
"support_messages","id","integer","NO","nextval('support_messages_id_seq'::regclass)",NULL
"support_messages","sender_id","integer","NO",NULL,NULL
"support_messages","sender_role","character varying","NO",NULL,10
"support_messages","recipient_id","integer","YES",NULL,NULL
"support_messages","subject","character varying","YES",NULL,255
"support_messages","message","text","NO",NULL,NULL
"support_messages","thread_id","integer","YES",NULL,NULL
"support_messages","is_read","boolean","YES","false",NULL
"support_messages","created_at","timestamp with time zone","YES","now()",NULL
"user_active_drive_items","id","integer","NO","nextval('user_active_drive_items_id_seq'::regclass)",NULL
"user_active_drive_items","user_id","integer","NO",NULL,NULL
"user_active_drive_items","drive_session_id","integer","NO",NULL,NULL
"user_active_drive_items","product_id_1","integer","NO",NULL,NULL
"user_active_drive_items","product_id_2","integer","YES",NULL,NULL
"user_active_drive_items","product_id_3","integer","YES",NULL,NULL
"user_active_drive_items","order_in_drive","integer","NO",NULL,NULL
"user_active_drive_items","user_status","character varying","NO","'PENDING'::character varying",10
"user_active_drive_items","task_type","character varying","YES","'order'::character varying",50
"user_active_drive_items","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP",NULL
"user_active_drive_items","updated_at","timestamp without time zone","YES","CURRENT_TIMESTAMP",NULL
"user_drive_configurations","id","integer","NO","nextval('user_drive_configurations_id_seq'::regclass)",NULL
"user_drive_configurations","user_id","integer","NO",NULL,NULL
"user_drive_configurations","drive_configuration_id","integer","NO",NULL,NULL
"user_drive_configurations","created_at","timestamp with time zone","YES","now()",NULL
"user_drive_configurations","updated_at","timestamp with time zone","YES","now()",NULL
"user_drive_progress","id","integer","NO","nextval('user_drive_progress_id_seq'::regclass)",NULL
"user_drive_progress","user_id","integer","NO",NULL,NULL
"user_drive_progress","date","date","NO",NULL,NULL
"user_drive_progress","drives_completed","integer","YES","0",NULL
"user_drive_progress","is_working_day","boolean","YES","false",NULL
"user_drive_progress","created_at","timestamp without time zone","YES","now()",NULL
"user_drive_progress","updated_at","timestamp without time zone","YES","now()",NULL
"user_working_days","id","integer","NO","nextval('user_working_days_id_seq'::regclass)",NULL
"user_working_days","user_id","integer","NO",NULL,NULL
"user_working_days","total_working_days","integer","YES","0",NULL
"user_working_days","weekly_progress","integer","YES","0",NULL
"user_working_days","last_reset_date","date","YES",NULL,NULL
"user_working_days","created_at","timestamp without time zone","YES","now()",NULL
"user_working_days","updated_at","timestamp without time zone","YES","now()",NULL
"users","id","integer","NO","nextval('users_id_seq'::regclass)",NULL
"users","username","character varying","NO",NULL,50
"users","email","character varying","NO",NULL,100
"users","password_hash","character varying","NO",NULL,100
"users","referral_code","character varying","NO",NULL,10
"users","upliner_id","integer","YES",NULL,NULL
"users","tier","character varying","YES","'bronze'::character varying",10
"users","revenue_source","character varying","YES",NULL,20
"users","created_at","timestamp without time zone","YES","now()",NULL
"users","role","character varying","YES","'user'::character varying",10
"users","withdrawal_password_hash","character varying","YES",NULL,100
"users","assigned_drive_configuration_id","integer","YES",NULL,NULL
"withdrawal_addresses","id","integer","NO","nextval('withdrawal_addresses_id_seq'::regclass)",NULL
"withdrawal_addresses","user_id","integer","NO",NULL,NULL
"withdrawal_addresses","address_type","character varying","NO","'TRC20'::character varying",10
"withdrawal_addresses","address","character varying","NO",NULL,100
"withdrawal_addresses","created_at","timestamp with time zone","YES","now()",NULL
"withdrawal_addresses","updated_at","timestamp with time zone","YES","now()",NULL
"withdrawals","id","integer","NO","nextval('withdrawals_id_seq'::regclass)",NULL
"withdrawals","user_id","integer","NO",NULL,NULL
"withdrawals","amount","numeric","NO",NULL,NULL
"withdrawals","status","character varying","NO","'PENDING'::character varying",20
"withdrawals","address","character varying","NO",NULL,100
"withdrawals","txn_hash","character varying","YES",NULL,100
"withdrawals","description","text","YES",NULL,NULL
"withdrawals","created_at","timestamp with time zone","YES","now()",NULL
"withdrawals","updated_at","timestamp with time zone","YES","now()",NULL
